ROI,Feature,CN vs MCI p,CN vs MCI FDR p,CN vs MCI effect,CN vs MCI test,MCI vs AD p,MCI vs AD FDR p,MCI vs AD effect,MCI vs AD test,CN vs AD p,CN vs AD FDR p,CN vs AD effect,CN vs AD test,Trend,Effect Size,FDR p
Broca,voxel_count,0.11681708155100365,0.245329212233202,-0.6525917356407744,students_t,0.0011003128608869416,0.02459580323357413,-1.9975810930948972,students_t,0.0011436285144424633,0.02459580323357413,-1.8045677134594074,students_t,decrease,-1.8045677134594074,0.02459580323357413
Broca,brain_volume_mm3,0.11681708155100365,0.245329212233202,-0.6525917356407744,students_t,0.0011003128608869416,0.02459580323357413,-1.9975810930948972,students_t,0.0011436285144424633,0.02459580323357413,-1.8045677134594074,students_t,decrease,-1.8045677134594074,0.02459580323357413
Broca,gm_volume_mm3,0.1131996245870591,0.24526585327196138,-0.6595096040298233,students_t,0.007492507492507492,0.04852363262797645,-0.8,mann_whitney_u,0.0015479876160990713,0.02459580323357413,-0.8571428571428572,mann_whitney_u,decrease,-0.8571428571428572,0.02459580323357413
Broca,mean_intensity,0.38668051681699434,0.5094777079683371,-0.35306784815086584,students_t,0.00985083097837311,0.05649741296419872,-1.4570897455891105,students_t,0.008855698052203468,0.052329124853929584,-1.3714718147015676,students_t,decrease,-1.3714718147015676,0.052329124853929584
Broca,std_intensity,0.25248527284053396,0.3970534532572913,0.46979249127180384,students_t,0.5621878121878122,0.6695554940671201,-0.19999999999999996,mann_whitney_u,0.9043859649122807,0.9185169956140351,0.04761904761904767,mann_whitney_u,increase,0.04761904761904767,0.9185169956140351
Broca,skewness,0.2064981393704053,0.3524924300559026,0.520354840115047,students_t,0.04748182739293677,0.15963717830383917,1.060681080033519,students_t,0.004956170200566033,0.03865812756441506,1.4957346771343158,students_t,increase,1.4957346771343158,0.03865812756441506
Broca,kurtosis,0.0570398742490555,0.1734628798776304,-0.47142857142857153,mann_whitney_u,0.031218781218781223,0.12175324675324678,0.6666666666666667,mann_whitney_u,0.07738826896783702,0.20120949931637622,0.8753583592135904,students_t,increase,0.8753583592135904,0.20120949931637622
Broca,entropy,0.9003602221325235,0.9185169956140351,0.05063375829226983,students_t,0.008284861675985166,0.050485875838034606,-1.499706700834775,students_t,0.01824998721191592,0.08896868765809011,-1.213221778157174,students_t,decrease,-1.213221778157174,0.08896868765809011
Broca,surface_area_vox,0.004513203354000608,0.03666977725125494,-0.7,mann_whitney_u,0.21542207863344986,0.3534444138396621,-0.633494329048544,students_t,0.0022703818369453044,0.02459580323357413,-0.8333333333333333,mann_whitney_u,decrease,-0.8333333333333333,0.02459580323357413
Broca,cortical_thickness_mm,0.7270805035531442,0.7790148252355117,-0.14131491263298593,students_t,0.001562221569296391,0.02459580323357413,-1.910300001694112,students_t,0.041278734569506446,0.1463518771100683,-1.0271625323501266,students_t,decrease,-1.0271625323501266,0.1463518771100683
Broca,gm_fraction,0.13152262573413967,0.25877713673208874,-0.6261947166494256,students_t,0.015984015984015984,0.08202323991797676,-0.7333333333333334,mann_whitney_u,0.0022703818369453044,0.02459580323357413,-0.8333333333333333,mann_whitney_u,decrease,-0.8333333333333333,0.02459580323357413
Broca,normalized_volume,0.13744885178689664,0.26530740656349716,-0.6162471437573686,students_t,0.29266211109370394,0.441373151451183,0.5338467009840707,students_t,0.5090587378809045,0.6282686954859265,-0.21852509797736858,welch_t,decrease,-0.21852509797736858,0.6282686954859265
Broca,surface_to_volume_ratio,0.3339735948493513,0.48240630367128523,0.24285714285714288,mann_whitney_u,0.001416838771822349,0.02459580323357413,1.934562987318185,students_t,0.02002063983488132,0.09248995155021965,0.6666666666666667,mann_whitney_u,increase,0.6666666666666667,0.09248995155021965
Broca,atrophy_index,,,,insufficient_data,,,,insufficient_data,,,,insufficient_data,,,
Wernicke,voxel_count,0.16485965011524012,0.29225119793156207,-0.5743573294068384,students_t,0.5747510422728643,0.6711164864862788,0.2804843103645107,students_t,0.5896072011937983,0.6754007914772016,-0.25666592350878326,students_t,decrease,-0.25666592350878326,0.6754007914772016
Wernicke,brain_volume_mm3,0.16485965011524012,0.29225119793156207,-0.5743573294068384,students_t,0.5747510422728643,0.6711164864862788,0.2804843103645107,students_t,0.5896072011937983,0.6754007914772016,-0.25666592350878326,students_t,decrease,-0.25666592350878326,0.6754007914772016
Wernicke,gm_volume_mm3,0.11054186226560139,0.24495071752036673,-0.6647118200094938,students_t,0.085759250828505,0.21168422672858828,0.9024963890749014,students_t,0.4475564114373246,0.5779702002005186,0.3628687566315331,students_t,increase,0.3628687566315331,0.5779702002005186
Wernicke,mean_intensity,0.13877618189475235,0.26530740656349716,-0.6140677921630089,students_t,0.05188870621571279,0.16587373298465563,1.0374118152767542,students_t,0.46596993251486685,0.5932844172484908,0.3480982637885054,students_t,increase,0.3480982637885054,0.5932844172484908
Wernicke,std_intensity,0.5645431193341209,0.6695554940671201,0.20420397870168247,welch_t,0.294248767634122,0.441373151451183,0.5320229581556243,students_t,0.3785575414167457,0.5094777079683371,0.4219056224251951,students_t,increase,0.4219056224251951,0.5094777079683371
Wernicke,skewness,0.09386669924872593,0.22053019703013924,0.7000112704300843,students_t,0.056091811120713465,0.1734628798776304,-1.0168674948621452,students_t,0.32539556569889927,0.4770837241450027,-0.4724921408594197,students_t,decrease,-0.4724921408594197,0.4770837241450027
Wernicke,kurtosis,0.20968780454607538,0.3524924300559026,0.516583437006387,students_t,0.0409239271882732,0.1463518771100683,-1.0993398751796761,students_t,0.4515469211651786,0.5792871686000647,-0.35963667140912176,students_t,decrease,-0.35963667140912176,0.5792871686000647
Wernicke,entropy,0.8376197722836831,0.8734537732369958,-0.05714285714285716,mann_whitney_u,0.07267732267732269,0.2004553626711888,0.5666666666666667,mann_whitney_u,0.10419394288682907,0.24187879598728174,0.5902906612544534,welch_t,increase,0.5902906612544534,0.24187879598728174
Wernicke,surface_area_vox,0.5665469565183324,0.6695554940671201,0.23262329123174214,students_t,0.5072680250124071,0.6282686954859265,-0.3322557808923005,students_t,0.7449761789506146,0.7895127983444014,-0.1543664905048897,students_t,decrease,-0.1543664905048897,0.7895127983444014
Wernicke,cortical_thickness_mm,0.16816690935428302,0.29542835427103775,-0.34285714285714275,mann_whitney_u,0.3634425049598846,0.5094777079683371,0.4586527305971582,students_t,0.6491071899292513,0.7274477128517473,0.1428571428571429,mann_whitney_u,decrease,0.1428571428571429,0.7274477128517473
Wernicke,gm_fraction,0.11206539614395775,0.24526585327196138,-0.6617169711952833,students_t,0.07412356462075874,0.2004553626711888,0.9422760323198305,students_t,0.3903996594361131,0.5109257287922285,0.4113035743035784,students_t,increase,0.4113035743035784,0.5109257287922285
Wernicke,normalized_volume,0.16361983599618926,0.29225119793156207,-0.5761249551995137,students_t,0.12585582864844982,0.2515175526090606,0.794740964588634,students_t,0.8767458207088827,0.9045790213663075,0.05142971910417682,welch_t,increase,0.05142971910417682,0.9045790213663075
