ROI,Feature,CN Mean+/-SD,MCI Mean+/-SD,AD Mean+/-SD,p-value,FDR p,Effect Size,Test
Broca,voxel_count,8935 +/- 164.5,8842 +/- 86.79,8658 +/- 87.84,0.0011436285144424633,0.02459580323357413,-1.8045677134594074,students_t
Broca,brain_volume_mm3,8935 +/- 164.5,8842 +/- 86.79,8658 +/- 87.84,0.0011436285144424633,0.02459580323357413,-1.8045677134594074,students_t
Broca,gm_volume_mm3,5768 +/- 524.6,5457 +/- 330.7,4920 +/- 281.8,0.0015479876160990713,0.02459580323357413,-0.8571428571428572,mann_whitney_u
Broca,mean_intensity,0.4146 +/- 0.02897,0.4053 +/- 0.01942,0.3775 +/- 0.0151,0.008855698052203468,0.052329124853929584,-1.3714718147015676,students_t
Broca,std_intensity,0.2364 +/- 0.008763,0.2404 +/- 0.007339,0.239 +/- 0.01196,0.9043859649122807,0.9185169956140351,0.04761904761904767,mann_whitney_u
Broca,skewness,0.2191 +/- 0.1233,0.2828 +/- 0.1101,0.3993 +/- 0.09155,0.004956170200566033,0.03865812756441506,1.4957346771343158,students_t
Broca,kurtosis,-1.134 +/- 0.03509,-1.156 +/- 0.1042,-1.088 +/- 0.07816,0.07738826896783702,0.20120949931637622,0.8753583592135904,students_t
Broca,entropy,4.069 +/- 0.0342,4.071 +/- 0.02772,4.029 +/- 0.02343,0.01824998721191592,0.08896868765809011,-1.213221778157174,students_t
Broca,surface_area_vox,5009 +/- 47.94,4969 +/- 14.24,4955 +/- 29.96,0.0022703818369453044,0.02459580323357413,-0.8333333333333333,mann_whitney_u
Broca,cortical_thickness_mm,1.784 +/- 0.03978,1.779 +/- 0.01765,1.747 +/- 0.01214,0.041278734569506446,0.1463518771100683,-1.0271625323501266,students_t
Broca,gm_fraction,0.6448 +/- 0.04875,0.6169 +/- 0.03303,0.5683 +/- 0.03169,0.0022703818369453044,0.02459580323357413,-0.8333333333333333,mann_whitney_u
Broca,normalized_volume,6.316 +/- 0.7868,5.837 +/- 0.6965,6.161 +/- 0.2266,0.5090587378809045,0.6282686954859265,-0.21852509797736858,welch_t
Broca,surface_to_volume_ratio,0.5608 +/- 0.01282,0.5621 +/- 0.005532,0.5724 +/- 0.00397,0.02002063983488132,0.09248995155021965,0.6666666666666667,mann_whitney_u
Broca,atrophy_index,,,,,,,insufficient_data
Wernicke,voxel_count,7893 +/- 35.32,7868 +/- 50.99,7883 +/- 47.52,0.5896072011937983,0.6754007914772016,-0.25666592350878326,students_t
Wernicke,brain_volume_mm3,7893 +/- 35.32,7868 +/- 50.99,7883 +/- 47.52,0.5896072011937983,0.6754007914772016,-0.25666592350878326,students_t
Wernicke,gm_volume_mm3,5268 +/- 315,5009 +/- 451.7,5380 +/- 239.2,0.4475564114373246,0.5779702002005186,0.3628687566315331,students_t
Wernicke,mean_intensity,0.4036 +/- 0.021,0.3906 +/- 0.01973,0.4107 +/- 0.01571,0.46596993251486685,0.5932844172484908,0.3480982637885054,students_t
Wernicke,std_intensity,0.2131 +/- 0.009706,0.2147 +/- 0.003187,0.2169 +/- 0.004816,0.3785575414167457,0.5094777079683371,0.4219056224251951,students_t
Wernicke,skewness,0.3555 +/- 0.1076,0.4431 +/- 0.1376,0.3001 +/- 0.1242,0.32539556569889927,0.4770837241450027,-0.4724921408594197,students_t
Wernicke,kurtosis,-0.7724 +/- 0.1289,-0.709 +/- 0.1018,-0.8159 +/- 0.07079,0.4515469211651786,0.5792871686000647,-0.35963667140912176,students_t
Wernicke,entropy,4.034 +/- 0.03309,4.03 +/- 0.02828,4.052 +/- 0.01365,0.10419394288682907,0.24187879598728174,0.5902906612544534,welch_t
Wernicke,surface_area_vox,4752 +/- 23.53,4759 +/- 30.2,4748 +/- 28.56,0.7449761789506146,0.7895127983444014,-0.1543664905048897,students_t
Wernicke,cortical_thickness_mm,1.661 +/- 0.00977,1.653 +/- 0.01339,1.66 +/- 0.01578,0.6491071899292513,0.7274477128517473,0.1428571428571429,mann_whitney_u
